year,nat_nondomestic_water,ipi_index
2015,4067,100.00008333333334
2016,4249,104.12466666666667
2017,4341,108.72241666666667
2018,4476,112.15966666666667
2019,4688,114.88625
2020,4298,110.2045
2021,4173,118.32158333333332
2022,4433,126.24900000000001
